JupilerProLeague,816672421.87,1367072427.09,550435100.89,19,5885,6100,138771.86,224110.23,90235.26,42982759.05,71951180.37,28970268.47
1.HNL,99672488.02,498887654.87,399226442.9400001,13,3859,3866,25828.58,129044.92,103266.02,7667114.46,38375973.45,30709726.38
TorneoInicial,47679145.63,115493998.69000001,67827010.21000001,3,518,656,92044.68,176057.92,103394.83,15893048.54,38497999.56,22609003.4
LaLiga2,105420198.59,496214138.38,390805507.88,9,2977,3325,35411.55,149237.33,117535.49,11713355.4,55134904.26,43422834.21
Ligue2,79372077.4,296842357.83,217481848.51,6,1578,1842,50299.16,161152.2,118068.32,13228679.57,49473726.3,36246974.75
CampeonatoBrasileiroS,1088334433.87,2806272827.2699995,1717939906.5600002,15,11023,11937,98733.05,235090.29,143917.22,72555628.92,187084855.15,114529327.1
PrimeraDivisión,356122240.4000001,792903209.93,436760381.55,5,2589,2892,137552.04,274171.23,151023.65,71224448.08,158580641.99,87352076.31
TorneoFinal,263629357.95,942134009.07,678527690.16,9,3182,3647,82850.21,258331.23,186050.92,29292150.88,104681556.56,75391965.57
Eredivisie,1275031939.4500003,2405936232.0099998,1130950951.3700001,19,4907,5534,259839.4,434755.37,204364.1,67106944.18,126628222.74,59523734.28
LigaNOS,1504857585.52,3283315881.4400005,1778473813.0800002,18,8292,7810,181483.07,420398.96,227717.52,83603199.2,182406437.86,98804100.73
