SaudiProfessionalLeague,2017,SaudiArabia,168260.87,173185.06
SaudiProfessionalLeague,2015,SaudiArabia,132554.11,138279.25
SaudiProfessionalLeague,2014,SaudiArabia,113574.88,118278.77
SaudiProfessionalLeague,2013,SaudiArabia,156947.37,164832.89
SaudiProfessionalLeague,2012,SaudiArabia,158390.8,170037.48
SaudiProfessionalLeague,2011,SaudiArabia,153600.0,169437.91
SaudiProfessionalLeague,2009,SaudiArabia,158163.27,179984.15
QatarStarsLeague,2018,Qatar,298132.53,302785.58
QatarStarsLeague,2015,Qatar,98756.76,103022.16
QatarStarsLeague,2014,Qatar,461643.84,480763.57
QatarStarsLeague,2013,Qatar,348923.08,366454.05
QatarStarsLeague,2012,Qatar,200694.44,215451.77
QatarStarsLeague,2011,Qatar,234622.64,258814.92
Professionnelle 1,2012,Tunisia Ligue ,40716.98,43710.95
PrimeraDivisión,2018,Argentina,150843.59,153197.85
PrimeraDivisión,2017,Argentina,183221.48,188583.5
PrimeraDivisión,2016,Argentina,122821.43,127805.98
PrimeraDivisión,2015,Argentina,79215.69,82637.09
PrimeraDivisión,2014,Argentina,122409.24,127479.02
PremierLigaUkraine,2018,Ukraine,249182.16,253071.22
PremierLigaUkraine,2014,Ukraine,103305.08,107583.63
PremierLigaUkraine,2013,Ukraine,462949.15,486209.15
PremierLigaUkraine,2012,Ukraine,280034.84,300626.17
PremierLigaUkraine,2011,Ukraine,203946.49,224975.7
PremierLigaUkraine,2010,Ukraine,353650.79,398779.84
PremierLigaUkraine,2009,Ukraine,179784.17,204587.97
PremierLigaUkraine,2008,Ukraine,160486.89,185652.54
PremierLigaUkraine,2007,Ukraine,308566.55,368036.75
PremierLigaUkraine,2006,Ukraine,99663.87,121162.94
PremierLigaUkraine,2005,Ukraine,87570.85,108877.38
PremierLigaUkraine,2004,Ukraine,224056.6,285144.4
PremierLigaUkraine,2003,Ukraine,180275.23,234062.31
PremierLigaUkraine,2002,Ukraine,44198.9,58711.65
PremierLigaUkraine,2001,Ukraine,29537.04,40058.61
PremierLigaUkraine,2000,Ukraine,42105.26,58569.02
PremierLigaRussia,2018,Russia,419835.53,426388.03
PremierLigaRussia,2017,Russia,486857.14,501105.13
PremierLigaRussia,2016,Russia,374241.49,389429.61
PremierLigaRussia,2015,Russia,142043.01,148177.98
PremierLigaRussia,2014,Russia,301911.26,314415.41
PremierLigaRussia,2013,Russia,978151.52,1027296.88
PremierLigaRussia,2012,Russia,1201636.36,1289994.23
PremierLigaRussia,2011,Russia,895121.95,987419.25
PremierLigaRussia,2010,Russia,702524.27,792172.74
PremierLigaRussia,2009,Russia,399829.93,454992.18
PremierLigaRussia,2008,Russia,586413.5,678367.89
PremierLigaRussia,2007,Russia,519754.1,619926.58
PremierLigaRussia,2006,Russia,448047.62,544698.61
PremierLigaRussia,2005,Russia,543012.05,675130.24
PremierLigaRussia,2004,Russia,411434.98,523610.46
PremierLigaRussia,2003,Russia,252207.21,327455.98
PremierLigaRussia,2002,Russia,130625.0,173515.86
PremierLigaRussia,2001,Russia,65449.74,88763.99
PremierLigaRussia,2000,Russia,35217.39,48987.89
PremierLeague,2018,England,3985507.25,4047710.31
PremierLeague,2017,England,5166666.67,5317870.4
PremierLeague,2016,England,3980815.35,4142371.81
PremierLeague,2015,England,2961460.45,3089368.75
PremierLeague,2014,England,2202166.06,2293372.39
PremierLeague,2013,England,1728093.46,1814918.23
PremierLeague,2012,England,1550060.0,1664037.91
PremierLeague,2011,England,1219466.67,1345207.61
PremierLeague,2010,England,1406237.42,1585686.08
PremierLeague,2009,England,1221748.97,1390306.7
PremierLeague,2008,England,1958718.54,2265861.48
PremierLeague,2007,England,1980253.7,2361909.05
PremierLeague,2006,England,1239771.17,1507209.49
PremierLeague,2005,England,1207301.2,1501045.05
PremierLeague,2004,England,1324188.48,1685221.19
PremierLeague,2003,England,991851.85,1287781.67
PremierLeague,2002,England,1132525.25,1504391.19
PremierLeague,2001,England,2031489.36,2755138.79
PremierLeague,2000,England,1632108.84,2270286.6
OBOS-ligaen,2001,Norway,17948.72,24342.34
MajorLeagueSoccer,2018,UnitedStates,201578.95,204725.05
MajorLeagueSoccer,2017,UnitedStates,146338.8,150621.44
MajorLeagueSoccer,2016,UnitedStates,125346.26,130433.28
MajorLeagueSoccer,2015,UnitedStates,58490.57,61016.83
MajorLeagueSoccer,2013,UnitedStates,63812.15,67018.28
MajorLeagueSoccer,2002,UnitedStates,4807.69,6386.3
Ligue2,2012,France,100740.74,108148.34
Ligue2,2011,France,74482.76,82162.78
Ligue2,2008,France,31452.15,36384.1
Ligue2,2007,France,36166.67,43137.09
Ligue2,2001,France,3861.39,5236.87
Ligue2,2000,France,4460.09,6204.05
Ligue1,2018,France,1709639.18,1736322.05
Ligue1,2017,France,1981306.53,2039289.94
Ligue1,2016,France,972201.09,1011656.66
Ligue1,2015,France,1054202.9,1099734.93
Ligue1,2014,France,598316.15,623096.4
Ligue1,2013,France,1342792.21,1410258.25
Ligue1,2012,France,913684.21,980868.59
Ligue1,2011,France,788945.69,870295.0
Ligue1,2010,France,540070.18,608988.03
Ligue1,2009,France,834783.95,949954.33
Ligue1,2008,France,754502.92,872815.1
Ligue1,2007,France,727442.53,867642.92
Ligue1,2006,France,627242.42,762548.58
Ligue1,2005,France,564177.22,701445.02
Ligue1,2004,France,437027.86,556181.11
Ligue1,2003,France,411800.77,534666.01
Ligue1,2002,France,263698.11,350283.68
Ligue1,2001,France,550000.0,745918.91
Ligue1,2000,France,951900.45,1324107.06
Ligatha'Al,2016,Israel,47661.54,49595.82
Ligatha'Al,2010,Israel,31560.28,35587.66
LigaNOS,2018,Portugal,193493.53,196513.44
LigaNOS,2017,Portugal,163980.26,168779.18
LigaNOS,2016,Portugal,204828.15,213140.85
LigaNOS,2015,Portugal,168289.7,175558.3
LigaNOS,2014,Portugal,237641.33,247483.63
LigaNOS,2013,Portugal,226070.64,237429.13
LigaNOS,2012,Portugal,127685.39,137074.26
LigaNOS,2011,Portugal,206731.11,228047.45
LigaNOS,2010,Portugal,159554.03,179914.57
LigaNOS,2009,Portugal,153717.95,174925.54
LigaNOS,2008,Portugal,155974.58,180432.65
LigaNOS,2007,Portugal,149176.95,177927.91
LigaNOS,2006,Portugal,61221.95,74428.49
LigaNOS,2005,Portugal,84746.54,105365.9
LigaNOS,2004,Portugal,174241.57,221747.58
LigaNOS,2003,Portugal,130992.65,170075.73
LigaNOS,2002,Portugal,64115.23,85167.53
LigaNOS,2000,Portugal,179032.26,249036.42
LigaMXApertura,2018,Mexico,490569.62,498226.09
Liga1Betano,2017,Romania,34222.22,35223.74
Liga1Betano,2012,Romania,20534.65,22044.59
Liga1Betano,2011,Romania,29235.81,32250.35
Liga1Betano,2010,Romania,41096.41,46340.68
Liga1Betano,2009,Romania,35837.21,40781.46
Liga1Betano,2008,Romania,126739.13,146612.85
Liga1Betano,2007,Romania,118933.65,141855.79
Liga1Betano,2006,Romania,63113.46,76728.03
Liga1Betano,2005,Romania,39525.86,49142.75
Liga1Betano,2004,Romania,35186.92,44780.43
LeagueOne,2010,England,15968.99,18006.78
LeagueOne,2009,England,16794.66,19111.72
LeagueOne,2005,England,17347.42,21568.15
LeagueOne,2004,England,7258.88,9237.98
LeagueOne,2003,England,6695.16,8692.73
LeagueOne,2002,England,21902.99,29094.85
LaLiga2,2018,Spain,46487.52,47213.07
LaLiga2,2017,Spain,34521.38,35531.66
LaLiga2,2009,Spain,25694.82,29239.79
LaLiga2,2008,Spain,75831.06,87721.99
LaLiga2,2007,Spain,25570.29,30498.47
LaLiga2,2003,Spain,6607.14,8578.46
LaLiga2,2002,Spain,5844.16,7763.09
LaLiga2,2001,Spain,3112.84,4221.68
LaLiga2,2000,Spain,14583.33,20285.62
LaLiga,2018,Spain,2244082.57,2279106.67
LaLiga,2017,Spain,2043433.87,2103235.46
LaLiga,2016,Spain,1201575.34,1250339.79
LaLiga,2015,Spain,1452997.66,1515754.02
LaLiga,2014,Spain,1308100.96,1362278.11
LaLiga,2013,Spain,1177172.77,1236317.58
LaLiga,2012,Spain,464362.61,498507.79
LaLiga,2011,Spain,1135284.09,1252344.85
LaLiga,2010,Spain,1061587.84,1197056.08
LaLiga,2009,Spain,1735498.28,1974935.07
LaLiga,2008,Spain,1171317.37,1354989.43
LaLiga,2007,Spain,1656666.67,1975956.92
LaLiga,2006,Spain,1259070.51,1530672.02
LaLiga,2005,Spain,809275.86,1006177.68
LaLiga,2004,Spain,896029.41,1140326.9
LaLiga,2003,Spain,603347.28,783362.52
LaLiga,2002,Spain,657972.97,874019.13
LaLiga,2001,Spain,1159282.7,1572237.98
